label,beta,lo,hi,n,p
GSE179640,0.15586174611964906,-1.1279033252414437,1.4396268174807416,3 vs 28,0.202
GSE213216,-0.24827436568368283,-1.2370143820688022,0.7404656507014367,4 vs 36,0.632
GSE214411,0.42985618206949644,-0.4131494059086193,1.2728617700476121,4 vs 6,0.457
Combined (stratified),0.06431950892489667,-0.5643833468153647,0.6930223646651581,11 vs 70,0.8391132748568481
Combined + N5–N7 as controls,0.04992216139246939,-0.5396178646912887,0.6394621874762275,14 vs 70,0.8666009017173315
