0_normal,1_benign_lesion,2_malignant
0.0003860920373740539,0.008423197956484076,-0.001681999465288575
0.0007695364838890751,0.006997020275311987,-0.0015769155502083894
0.001207186209250109,0.005452900385778234,-0.0014466912705158946
0.0011897629752461176,0.004372973333826678,-0.0017565061126274483
0.0007819456226999034,0.0039717843105141655,-0.0029487481717150976
0.0004572654624989506,0.004026737375232234,-0.003023786092873429
0.00014053504445053395,0.003397190602407003,-0.001843838804292717
-0.00011153270512033662,0.002624521726124834,0.00028495354851669176
0.00047528890483930465,0.001976301838484839,0.004042593515506421
0.0011273450662203188,0.0017447341564349782,0.008233118643963094
0.0015694853462909315,0.0014911506396718603,0.011073973372534638
0.0020636619209546637,0.0012805467843949097,0.010813680931906022
0.002626256835523217,0.0012814311386746785,0.010715393812717395
0.003202481590709755,0.0013821092526202007,0.012060997840515408
0.003569401962015988,0.0018405079555666596,0.011622100369937091
0.003636140401792402,0.0019982062133876823,0.006856424086962323
0.0034460064131500807,0.0023055227773273786,0.003642834743553094
0.003080170934816697,0.002719795349581338,0.00206550025271937
0.0024249553402768236,0.0032973646362046854,0.0013586434037634967
0.0019893756729438025,0.003897178142974857,0.0008996059693702179
0.0019246568516687176,0.0048309077555450525,0.0008895077654273684
0.002062092540389082,0.0038253445913482005,0.0004467180460727538
0.002042021350660536,0.001997324203372956,-0.000985296943075455
0.002371860808039555,-3.6826936265238166e-05,-0.00552756250985151
0.0026956756878609607,-0.0014645467627029392,-0.020412865118642175
0.0033232399955565243,-0.003275035214036011,-0.05616923559178036
0.0023096483103759165,-0.002817847947885688,-0.09978531073155833
0.0010951821257389484,-0.0013067238060009896,-0.11294000465920201
-0.00013669341045808905,0.000726848647679857,-0.1167333990245514
-0.0003113921782705431,0.003088029516195586,-0.09861744933193634
-0.0002304677753576534,0.006357534195112094,-0.07087194102263723
-0.0009237168690288213,0.011440744478355738,-0.038281585843332154
-0.001819396369916935,0.016428079566048366,-0.016539159688760158
-0.0024438003425938113,0.01944806839814343,-0.0038542168564218737
-0.0033570208200894317,0.021660718416820667,-0.000798681655986328
-0.004317743114325674,0.02347911890811335,0.001790463247141972
-0.003864679087029601,0.018218040927362178,0.0030822554586254548
-0.002905316463354507,0.012461806196688,0.0015796451153955943
-0.001884537416907975,0.009425726373094178,-0.0012655166974708198
-0.0005237425836789099,0.005887124075316005,-0.002788738316409597
0.0010206266010492743,0.0026681010034380324,-0.0026669362364081764
0.0011895508371951254,0.0021216038651353823,-0.0019496032291455665
0.0010024836618302733,0.0016825154478552532,-0.0017128967591360429
0.0005965372141077377,0.0012422043703570918,-0.001786591076903736
-0.00013289989335966984,0.002717049249759087,-0.002110489762186421
-8.703828643237363e-05,0.003919986497988851,-0.003145515542244455
0.0001277876073877905,0.0038787458782847755,-0.004190234317338064
0.00011795969782790062,0.0020844243749965257,-0.003508333711827667
-0.00024365691748951394,0.0008935293632591791,-0.003630901642567616
0.0002643381987088699,0.00012842791363047563,-0.0025681859077541606
0.0005771184955548743,0.0006811538323498166,-0.0014237954186821528
0.0004775611521535548,0.0017603132266792816,-0.0013335429135210213
-0.00017648845781572975,0.004163409757774508,-0.003958258808541479
-0.00026894161873115385,0.006881817049171992,-0.00775456312078294
-0.0006271132267149659,0.008121852170368276,-0.018166969977849366
-0.0012351018141514116,0.00773508435051259,-0.03427573882503391
-0.0015516416119567287,0.007191616348441283,-0.04829553636301602
-0.0013635154747212465,0.005456234378958322,-0.04145055739764644
