segment,gene,lfc,p,mean_les,mean_eut
Macrophages,CD163,0.9160351376231262,0.07168480484126945,4.639493760805892,3.7234586231827658
Macrophages,MRC1,0.7819254189579916,0.39242812825600587,3.6082249523339174,2.826299533375926
Macrophages,MSR1,0.7798121601417722,0.3429444798338436,3.7850897621583854,3.0052776020166134
Macrophages,IL10,0.8856489283904331,0.0680901937184521,1.8893450438758002,1.0036961154853665
Macrophages,TGFB1,1.2548564952396144,0.19988194611760104,4.223364146603705,2.96850765136409
Macrophages,C1QA,0.505625218122731,0.20297037660601086,5.677524606608499,5.171899388485768
Macrophages,C1QB,0.755654138350879,0.19132447796716798,6.9970800277341,6.241425889383221
Macrophages,MERTK,0.9217438165588618,0.2921878031087738,2.9151925174391926,1.993448700880331
Macrophages,STAB1,1.0741928480176748,0.1224789360822766,5.352566116668416,4.278373268650741
Stroma,CD163,-0.0926269292892175,0.6665152783637585,3.066125735692025,3.158752664981243
Stroma,MRC1,-0.2898974410123617,0.023343583457796944,2.491946669253958,2.781844110266319
Stroma,MSR1,-0.1125678281011897,0.6500567401664756,2.433069729736745,2.5456375578379347
Stroma,IL10,-0.21507195319045427,0.13705481634934338,1.814044838487225,2.029116791677679
Stroma,TGFB1,-0.12903169594900915,0.7644424386209634,4.45466600703186,4.583697702980869
Stroma,C1QA,-0.09874829391512821,0.7845454383615196,3.182079094681798,3.2808273885969266
Stroma,C1QB,0.03061615977260388,0.9088380866592369,4.554817902851508,4.524201743078905
Stroma,MERTK,0.225669275178331,0.03876399819021279,2.3104680869292618,2.084798811750931
Stroma,STAB1,0.2524542090438088,0.4926406508727811,3.4085277858540293,3.1560735768102206
Epithelium,CD163,-0.06533947487388359,0.7620529840056322,2.7624522147239112,2.8277916895977953
Epithelium,MRC1,-0.1255011340697779,0.4238444842436289,2.3284796437086106,2.453980777778389
Epithelium,MSR1,-0.058049501573622944,0.8564919238083174,1.7152870579999053,1.7733365595735286
Epithelium,IL10,-0.3804232027397909,0.21800403216070396,1.5892753434368303,1.969698546176621
Epithelium,TGFB1,0.13410791353881332,0.8065321434698954,2.9046128750182003,2.770504961479387
Epithelium,C1QA,-0.1201539479331076,0.7139804688086847,2.396331715212739,2.516485663145846
Epithelium,C1QB,0.2951609669908957,0.3672029228772331,3.886201297017898,3.5910403300270026
Epithelium,MERTK,-0.482007918572568,0.39957916882356614,1.6804807619714306,2.1624886805439987
Epithelium,STAB1,-0.5653418841350818,0.13153756924766233,1.814047279762717,2.379389163897798
