source,strength,n
Plasma,2.98430196,2
Mast,5.12066047,5
CD4T,7.85522094,7
Treg,8.73286744,8
SmoothMuscle,8.80534697,11
Stromal_Fib,9.15946687,12
Epithelial,11.28925613,14
NK,14.66957764,13
CD8T,16.84763657,12
Endothelial,18.40526449,19
pDC,22.34099893,19
B,25.91636517,23
Mono,35.12600459,25
Macrophage,40.51328029,35
