gsm,cond,n_immune,Treg_pct,Mac_pct,NK_pct,CD8_pct,M2_in_mac,CD8_exh,NK_cyt,dataset
GSM6102532,Control,442,2.262443438914027,29.638009049773757,23.076923076923077,13.122171945701359,0.9671677212701499,-0.06605429032988148,1.1258272052362184,GSE179640
GSM6102533,Control,1235,0.9716599190283401,29.392712550607285,44.77732793522267,7.044534412955465,0.780425833606523,-0.07529098534231703,0.8233252955080465,GSE179640
GSM6102534,Control,1462,1.5047879616963065,13.269493844049249,15.868673050615595,17.920656634746923,0.6548816872710727,-0.08365234682968166,1.5911498520438894,GSE179640
GSM6102537,Endometriosis,1495,1.8729096989966554,7.82608695652174,56.92307692307692,12.709030100334449,0.5041559313702532,-0.06819351579766525,1.3682014821170858,GSE179640
GSM6102540,Endometriosis,718,2.0891364902506964,45.82172701949861,11.838440111420613,11.420612813370473,0.8996582364990718,-0.04250763127529663,1.09871095664962,GSE179640
GSM6102543,Endometriosis,965,1.5544041450777202,14.507772020725387,26.632124352331605,13.678756476683937,0.8400250912628003,-0.10297884013178028,1.4636623600789611,GSE179640
GSM6102546,Endometriosis,2166,1.8928901200369344,15.512465373961218,14.265927977839334,8.448753462603879,0.6906361650538054,-0.05963741949924169,1.4355808960691514,GSE179640
GSM6102549,Endometriosis,1258,5.961844197138315,8.90302066772655,27.027027027027028,34.65818759936407,1.5025965172052385,-0.052780406508970694,1.700778581725449,GSE179640
GSM6102550,Endometriosis,1002,1.3972055888223553,16.666666666666664,7.385229540918163,40.119760479041915,1.2551719861553456,-0.04212766601315778,0.7443629625773337,GSE179640
GSM6102551,Endometriosis,320,1.5625,32.1875,12.1875,27.8125,1.594617235912281,-0.06019864149078319,0.9824277639825704,GSE179640
GSM6102552,Endometriosis,686,0.43731778425655976,9.183673469387756,50.87463556851311,19.825072886297377,1.8372594249532335,-0.04328908226820601,1.3565313203950617,GSE179640
GSM6102553,Endometriosis,813,2.5830258302583027,14.268142681426815,45.75645756457565,5.535055350553505,1.6711850990868846,-0.05084037991629704,2.0244986043327966,GSE179640
GSM6102554,Endometriosis,421,3.32541567695962,16.6270783847981,42.99287410926366,6.175771971496437,0.9973431645078319,-0.056341773098641704,1.4914834463342306,GSE179640
GSM6102555,Endometriosis,1205,4.3153526970954355,7.219917012448132,32.697095435684645,10.78838174273859,0.3706180648882498,0.005550770597143486,1.5856490406110892,GSE179640
GSM6102556,Endometriosis,2154,2.042711234911792,10.399257195914577,19.87000928505107,31.058495821727018,1.461018436940919,0.013915734341886345,1.1316647370686836,GSE179640
GSM6102560,Endometriosis,506,2.1739130434782608,14.624505928853754,31.818181818181817,22.92490118577075,0.7989284176319031,-0.07091189649950695,1.1804558681024315,GSE179640
GSM6102562,Endometriosis,1175,0.0,72.76595744680851,16.085106382978722,0.1702127659574468,1.938624448527544,,-0.5980798751309525,GSE179640
GSM6595248,Endometriosis,2303,1.0421189752496742,18.41076856274425,28.484585323491096,10.551454624402954,0.7061014433538999,-0.1146654036472574,1.6787945199739642,GSE179640
GSM6595249,Endometriosis,2063,1.0664081434803683,30.63499757634513,15.996122152205524,14.444983034415898,1.1517244692613617,-0.06334167759279048,1.5798173712448123,GSE179640
