dataset,cond,pooled,patient_mean
GSE179640,Control,1.4017202930869703,1.5796304398795578
GSE179640,Endometriosis,2.985664854176965,2.7303797237136145
GSE213216,Control,0.6313690739920248,0.6528968996697707
GSE213216,Endometriosis,1.004523475276868,0.7115971686329501
GSE214411,Control,2.1183635641466965,2.058550883200847
GSE214411,Endometriosis,2.9428449865267337,2.894732389277482
