gene,eutopic,lesion,lesion-eut,p
C1QB,3.59,3.89,0.3,0.1399
CCL5,2.08,2.24,0.16,0.6774
TGFB1,2.77,2.9,0.13,0.8796
CD274,2.66,2.65,-0.02,1.0
MSR1,1.77,1.72,-0.06,0.5955
CD163,2.83,2.76,-0.07,0.9396
C1QA,2.52,2.4,-0.12,0.6769
MRC1,2.45,2.33,-0.13,0.8798
CTLA4,1.79,1.63,-0.17,0.7618
HAVCR2,2.07,1.87,-0.2,0.9396
IL10,1.97,1.59,-0.38,0.1588
FOXP3,2.1,1.61,-0.49,0.1297
