x,y,burden,stage
12.242802,5.2298174,0.01186754097555466,0_normal
10.729649,5.572814,0.016066059465721354,0_normal
-4.335365,8.726095,0.02016659453946312,2_malignant
5.275581,3.5724368,0.008282184976342147,0_normal
-2.7744174,14.274521,0.028422928861451095,2_malignant
8.451162,7.6530747,0.0026069269686015395,0_normal
8.068977,6.476553,0.01866967355845792,1_benign_lesion
-3.3182096,4.63803,0.015371796091270993,2_malignant
-4.2236843,8.700377,0.024571047285768963,2_malignant
2.5161014,-2.213491,0.018178432189305822,2_malignant
10.003855,6.3345566,0.011386522014544162,0_normal
-3.750058,10.1226845,0.02353528804679067,2_malignant
4.96731,7.1252966,0.009976131921424722,0_normal
6.552847,19.186605,0.010744286677880866,0_normal
8.896105,9.694523,0.004019897378688195,0_normal
-4.0636673,10.71868,0.0255022317211513,2_malignant
-3.8244753,9.538198,0.03054646676385702,2_malignant
-1.1833905,8.794028,0.0279891269994602,2_malignant
10.819655,6.820178,0.0031839087548980243,0_normal
10.216159,5.8143387,0.010417678744526458,0_normal
9.385908,11.971619,0.011997432926059698,2_malignant
-1.5332174,9.370377,0.023074537396156277,2_malignant
15.048283,15.156757,0.01869973141565358,1_benign_lesion
14.261428,13.515992,0.020399829916977315,0_normal
-4.459104,10.743768,0.020296813323031005,2_malignant
-1.4208559,11.575574,0.026504304337981777,2_malignant
9.479007,3.3541203,0.011678895547945612,1_benign_lesion
-4.589546,10.233345,0.01923978711332935,2_malignant
12.266244,6.339088,0.002090014672297856,0_normal
-5.859144,10.588411,0.016221749383416147,2_malignant
11.745593,4.8831882,0.005795567135662314,0_normal
-2.9567792,11.261564,0.020297457483790745,2_malignant
-6.0212526,12.33761,0.021489748649411573,2_malignant
11.305179,2.0248368,0.015748323139206925,0_normal
-5.008575,11.466216,0.016302817851982284,2_malignant
10.751735,0.2393164,0.007156841336014809,0_normal
6.960851,5.4541078,0.00456282579487486,1_benign_lesion
-4.145342,9.07702,0.021044959995585876,2_malignant
-5.3078637,9.99678,0.014661892600256316,2_malignant
-3.3427227,10.170137,0.022271487209304053,2_malignant
9.141923,9.823824,0.012698412423974305,2_malignant
6.637141,6.0368505,0.014900673160680883,1_benign_lesion
11.6186285,1.4776944,0.013826129253517653,0_normal
2.4512303,-1.2483908,0.012908105242006475,2_malignant
12.414275,6.011966,0.005851559914778254,1_benign_lesion
-2.4504974,14.420411,0.030673077429702024,2_malignant
6.356392,16.833988,0.014113474721272721,0_normal
12.012763,1.3460462,0.01706344737456772,0_normal
-2.6617723,15.200272,0.018380385453371683,2_malignant
-3.962545,11.257797,0.021905613911166338,2_malignant
-2.9818351,1.7247646,0.018623222323037376,2_malignant
8.5701275,5.8998713,0.0015194365032570665,1_benign_lesion
-4.7960668,12.058861,0.025916830834785704,2_malignant
-4.005716,8.922158,0.021106380080237998,2_malignant
-5.773739,12.322637,0.023814926570713803,2_malignant
8.619045,7.157019,0.0025177875996179435,0_normal
10.270519,4.5296082,0.014468586743666039,0_normal
-2.1079733,15.490246,0.020755074681050027,2_malignant
7.42549,4.117677,0.007275689615248753,1_benign_lesion
11.13123,4.7548904,0.007746652037894877,0_normal
10.102641,5.2919264,0.0159688324801341,0_normal
8.545648,2.78286,0.009705948659757843,2_malignant
6.494403,6.5368457,0.004280222429959731,1_benign_lesion
-3.052308,1.1552825,0.018700904722562105,2_malignant
8.144062,5.470049,0.006913673104125116,1_benign_lesion
9.110171,6.0482907,0.0035090847272498133,0_normal
-0.9742554,8.005393,0.03124117837497161,2_malignant
9.554666,4.084749,0.019344585825129604,0_normal
8.115363,3.4977643,0.011044094127634893,2_malignant
-4.646407,9.31075,0.019244585555035127,2_malignant
-3.295196,10.836154,0.02264296476484798,2_malignant
8.541619,12.059428,0.011804845725656585,2_malignant
14.43986,14.471115,0.010876856485982276,0_normal
5.235263,20.08971,0.010324630532780465,1_benign_lesion
10.235985,4.995749,0.0070138875283918345,0_normal
11.7243185,3.0735705,0.011191220125815273,0_normal
12.256628,5.0290723,0.016695997536961337,0_normal
-2.6831813,11.191614,0.022374598782866847,2_malignant
11.259835,7.7908163,0.008738864377514047,1_benign_lesion
-3.045537,1.632126,0.02259673507096175,2_malignant
-4.872612,9.884724,0.017432853576225888,2_malignant
11.706798,0.97726595,0.020395593348697675,0_normal
8.737482,11.825861,0.003556517861191253,0_normal
5.5292726,17.86066,0.01734348154045042,0_normal
-3.5870934,8.788554,0.019518222383951726,2_malignant
-5.3299313,10.626309,0.023052544010238,2_malignant
-0.39641768,7.8758464,0.02353448143158695,2_malignant
4.631194,7.542246,0.007016581203624183,0_normal
-2.958374,9.968477,0.017279799170748046,2_malignant
7.7057905,6.646284,0.011257116326448933,1_benign_lesion
11.169872,4.3974004,0.003705217466532249,0_normal
-5.3500195,11.012695,0.0201726801169637,2_malignant
-4.416876,8.661365,0.023339888543423518,2_malignant
