chrom,delta,p,mal,rest
8,0.03585521109328511,3.6245382631262506e-05,0.04555858788714981,0.009703376793864701
12,0.027787588146699654,3.0831528765099175e-08,0.03917223184584872,0.011384643699149063
19,0.0237214920173872,2.362394595025606e-05,0.03335884105716146,0.009637349039774265
6,0.016795502497123537,0.0011486823652860558,0.029583842429244618,0.012788339932121081
11,0.015445588346445384,6.200004539962358e-09,0.0270579877937114,0.011612399447266017
17,0.013102175016164844,7.781275103895812e-08,0.020673060548879872,0.007570885532715029
15,0.012847964570665395,0.023011163331464492,0.020156042101531792,0.007308077530866397
10,0.012524444472516962,0.0008490783330169886,0.01982153764901181,0.007297093176494848
20,0.011953242552024027,1.682081643488177e-05,0.020515206534840406,0.00856196398281638
18,0.010821495425978475,0.0009518070325778505,0.017579520824336323,0.006758025398357847
2,0.008833291947971526,8.667435154828806e-05,0.016488623728037076,0.00765533178006555
3,0.008757493102969372,2.6003267282574635e-05,0.015652069979042296,0.006894576876072924
22,0.006998140828214259,0.009013015830422218,0.014834716669257295,0.007836575841043036
13,0.0059497080737150815,0.00019853768043726636,0.011812308786009588,0.005862600712294506
1,0.005903438959780584,0.00041850089697514545,0.015498426078484832,0.009594987118704249
5,0.00535550423459996,0.0035710834554246534,0.013703563873223943,0.008348059638623983
9,0.005321010487129539,0.0014338545917132234,0.013312755338121316,0.007991744850991777
7,0.004691404519723604,0.08750507819616687,0.014927993126276299,0.010236588606552695
14,0.002302883062052395,0.22632695613841747,0.012036468068255883,0.009733585006203489
4,0.0018190267565525277,0.24354228676441314,0.009625769961336798,0.00780674320478427
16,0.0013586923726369004,0.3069896030008133,0.009380325171613049,0.008021632798976148
21,-0.004411116454338768,0.9999654215757796,0.002721110900493612,0.00713222735483238
