names,scores,logfoldchanges,pvals,pvals_adj
NAT10,27.12666,1.6462626,4.774635215980644e-162,1.6626766265083541e-161
RAVER2,18.574015,1.6447974,5.215327503915899e-77,1.5189724942364778e-76
SLC26A11,18.10475,1.6443528,2.92339161214634e-73,8.435387366296797e-73
ZNF354B,12.751577,1.6424849,3.0549990812909686e-37,7.75768534444254e-37
FBXL5,69.1032,1.6424721,0.0,0.0
MIRLET7BHG,39.631588,1.6415576,0.0,0.0
NCS1,24.680609,1.6413945,1.7276008806545416e-134,5.730209368272337e-134
CCDC77,12.891249,1.641236,5.042086290435699e-38,1.2843337199738306e-37
ZNF496,20.556322,1.6408423,6.756568948145211e-94,2.060320952485833e-93
MCM10,7.365565,1.640715,1.763985393813141e-13,3.818111022451224e-13
FAM118A,38.476692,1.6402687,0.0,0.0
MYEOV,16.17358,1.6399901,7.746398871347603e-59,2.140862505108982e-58
CTC1,14.389749,1.6384935,6.001379196903583e-47,1.5887111401574433e-46
HPCAL1,38.818687,1.6377519,0.0,0.0
HMGN4,15.220616,1.6372781,2.580882683125261e-52,6.965222594835401e-52
DMPK,14.704311,1.6372583,6.0483272019093735e-49,1.6135793863256284e-48
USP28,29.181322,1.6370602,3.347264249312268e-187,1.2123722958688984e-186
CSE1L,65.5044,1.6360245,0.0,0.0
NFXL1,34.813244,1.6358247,1.5332891205985898e-265,6.094767496470098e-265
TNFRSF25,14.6252,1.6357199,1.9399788118186433e-48,5.1638339925188875e-48
NPR1,21.274534,1.6346362,1.954407586927233e-100,6.051552484215287e-100
LEMD3,42.827957,1.634251,0.0,0.0
CNST,49.68365,1.6339642,0.0,0.0
AP4S1,10.727128,1.6331345,7.591875295280124e-27,1.8228154928825276e-26
CLCN5,27.073988,1.6320586,1.993837565372553e-161,6.931719249523369e-161
CARF,22.2477,1.6320527,1.1872674977678967e-109,3.7569662675831536e-109
TRAF2,14.925907,1.6318384,2.2357523647327328e-50,5.993805477127335e-50
IMPA2,61.711464,1.6316667,0.0,0.0
PRKDC,141.37186,1.6304849,0.0,0.0
THEMIS2,17.626244,1.6304277,1.549246216582192e-69,4.4240635118143444e-69
NCK2,48.2042,1.6303431,0.0,0.0
NMT2,21.280201,1.6298563,1.7319750028991103e-100,5.365633847630164e-100
PPP1R3B,50.778316,1.6298175,0.0,0.0
LRRIQ1,57.869495,1.6297219,0.0,0.0
PTAFR,9.11169,1.6294438,8.11088133632121e-20,1.855549472122446e-19
SHQ1,20.21948,1.6293997,6.597357466407444e-91,1.996515330836358e-90
TNFRSF21,17.673693,1.6285664,6.687347567288368e-70,1.9126137884941936e-69
EZH1,42.106564,1.6284878,0.0,0.0
SLC25A32,23.824959,1.6279781,1.8414048333491612e-125,5.998531133899695e-125
ODF2,36.637657,1.6275955,7.195710283497878e-294,2.942657868324226e-293
ZNF76,25.832254,1.6262903,3.8514087713849455e-147,1.310579638384391e-146
APAF1,23.432812,1.6258785,1.979275645356346e-121,6.396849054106698e-121
KIF15,11.909464,1.6257253,1.0565395660288579e-32,2.626672283619479e-32
TMEM184A,34.779884,1.6256449,4.899730619229359e-265,1.9468386058374998e-264
SPATA6,45.507473,1.6249404,0.0,0.0
MET,94.57594,1.6247895,0.0,0.0
SLC25A27,13.515699,1.6241255,1.2634894404798128e-41,3.2734552708693517e-41
GAS7,17.326092,1.6241001,2.989685118728278e-67,8.484086253704214e-67
AKAP12,43.674084,1.6240748,0.0,0.0
TRIM33,100.45828,1.6239598,0.0,0.0
BDP1,122.4623,1.6236918,0.0,0.0
NR2F1-AS1,13.354231,1.6227561,1.1190864170657209e-40,2.885159935040225e-40
PLAAT3,10.735173,1.6217782,6.958804070186154e-27,1.6714940962469263e-26
ELMOD3,25.416689,1.6209109,1.6492631184620863e-142,5.559038909734666e-142
HELLS,41.253468,1.6196734,0.0,0.0
RHBDF2,18.238928,1.6194401,2.533818030296392e-74,7.33349470103425e-74
DENND4B,17.7469,1.6184354,1.8213391806010496e-70,5.219228141984376e-70
SYTL3,33.701824,1.6183486,5.436051070628584e-249,2.1264616255883175e-248
CEP350,102.72442,1.6181809,0.0,0.0
FAM20C,25.982597,1.6178031,7.789781468527897e-149,2.6581031519023433e-148
RBSN,20.24832,1.6176789,3.6756576831938657e-91,1.1130247270787002e-90
TP53BP1,65.6874,1.6175731,0.0,0.0
COX10,21.547417,1.6165484,5.598445597698979e-103,1.7457454963046554e-102
STK36,18.543598,1.6161352,9.186575962382576e-77,2.6742861609735558e-76
PPP4R3A,95.49801,1.615468,0.0,0.0
ABRAXAS2,20.336355,1.615206,6.1320758180798944e-92,1.8608590988377276e-91
ANKRD36,33.343235,1.6140916,9.130307996521829e-244,3.549473343039621e-243
E2F5,28.652424,1.6133051,1.495336324502733e-180,5.362147135709253e-180
RGS12,36.87784,1.6131588,1.0471991678353764e-297,4.30273986728519e-297
CRY1,32.85431,1.612456,9.885226037329473e-237,3.8058764652195485e-236
GUCY1B1,22.975857,1.6123704,8.128134436181054e-117,2.60357750190288e-116
C19orf44,10.6602335,1.612357,1.5620474130835024e-26,3.744095788015895e-26
PDXK,119.36696,1.6119827,0.0,0.0
DNMBP,29.771626,1.610954,9.104716020290188e-195,3.3308010911690936e-194
ZNF382,7.270483,1.610522,3.5820400363955417e-13,7.728893926257514e-13
NCAPG2,15.573506,1.6097785,1.1019761510253239e-54,3.00141631984669e-54
PIK3C2A,106.66192,1.6092366,0.0,0.0
SIN3A,61.058,1.6090853,0.0,0.0
DDX10,46.06174,1.608981,0.0,0.0
PDE4B,17.74511,1.6088958,1.8803096978066972e-70,5.3876911872920405e-70
RTN4IP1,11.373674,1.608325,5.655567387582498e-30,1.384242892294332e-29
PPIL2,44.588963,1.6082709,0.0,0.0
SNAPC4,15.5609665,1.6079645,1.3405921522763735e-54,3.6493073614234246e-54
SDC2,57.28494,1.6076713,0.0,0.0
MGAT3,11.952207,1.60678,6.322421636897247e-33,1.5736776039917034e-32
TNFRSF14-AS1,6.6874313,1.6067619,2.2712205552119657e-11,4.794077412109317e-11
IGHMBP2,16.275667,1.6058604,1.4691156238561126e-59,4.069316609367883e-59
ERCC2,13.737072,1.6056321,6.088900574923419e-43,1.584885270846087e-42
PCGF5,59.66704,1.6055577,0.0,0.0
PPP2R5E,114.54211,1.6054583,0.0,0.0
CCNT2,50.568638,1.6054169,0.0,0.0
ST7L,26.355564,1.6044728,4.431428304087227e-153,1.5210981962070884e-152
ARHGAP35,56.723442,1.6041305,0.0,0.0
STX8,75.8132,1.6040521,0.0,0.0
RAB10,139.93063,1.6039311,0.0,0.0
NSUN3,20.749678,1.6034653,1.2341514209924913e-95,3.7778056869398015e-95
APOLD1,7.6572356,1.6028776,1.899778494132494e-14,4.1509773534393305e-14
LINC01588,10.98281,1.6025933,4.623144289020963e-28,1.1182949775130166e-27
VPS13A,69.16218,1.6023157,0.0,0.0
AL354733.3,9.081143,1.6015784,1.0744037494053722e-19,2.455091133633107e-19
RAB2A,145.4201,1.6015196,0.0,0.0
SENP2,33.27705,1.6002201,8.294195032426067e-243,3.2201890521633154e-242
AC087190.1,8.375386,1.5997665,5.5043118320920505e-17,1.2307286166553968e-16
ITFG2,34.805485,1.5994742,2.0092615866852582e-265,7.985665498629296e-265
MORN1,24.633867,1.5994439,5.480288084016893e-134,1.8169182342092606e-133
MPP5,45.46396,1.5990077,0.0,0.0
TRERF1,7.346551,1.5985315,2.0338655608127357e-13,4.3996813428173824e-13
C2orf42,7.5065384,1.5982347,6.071122918097205e-14,1.3205676176444496e-13
SPAG1,63.93832,1.596843,0.0,0.0
PLEKHN1,6.8729296,1.5968103,6.289657636264889e-12,1.3373674395082243e-11
