dataset_id,tissue,assay,susp,disease,n_ctrl,n_case,cells
e067e5ca-e53e-485f-aa8e-efd5435229c8,kidney,10x 5' v1,nucleus,type 2 diabetes mellitus,5,5,30470
a19438aa-ef9a-4e9b-abb6-5a1357123bb8,pancreas,10x 3' v2,cell,type 2 diabetes mellitus,4,7,14423
6d452161-70af-43dd-988c-e3c4050d31e8,pancreas,10x 3' v2,cell,type 2 diabetes mellitus,4,7,14078
7e9bde96-b4d1-43d3-a5fe-dde6c4a6dc47,pancreas,10x 3' v3,cell,type 2 diabetes mellitus,13,10,6021
7e9bde96-b4d1-43d3-a5fe-dde6c4a6dc47,pancreas,10x 3' v2,cell,type 2 diabetes mellitus,4,7,1705
19053a82-9c89-4fb8-bd19-d7b1800b0b7b,colon,10x 3' v2,cell,ulcerative colitis,52,8,220013
e6aaf5a4-16e9-4ea6-9733-4eafd4e473d3,colon,10x 3' v2,cell,ulcerative colitis,42,8,187402
dc6b1e06-3880-43f6-8de8-ef9cb5e7ef5e,colon,10x 3' v2,cell,ulcerative colitis,35,8,44170
1d54fb17-90d5-47ca-ad8d-22ab63cb5c1f,colon,10x 3' v2,cell,ulcerative colitis,29,7,35018
763d1d88-b38d-4ab0-b00f-72df816b4b08,colon,10x 3' v2,cell,ulcerative colitis,25,8,33587
ef7bb7f0-234d-459f-b613-b37cc7a4c70f,colon,10x 3' v2,cell,ulcerative colitis,24,6,18137
40a0ade8-6067-4e22-9224-4d3c5e9bfc0d,colon,10x 3' v2,cell,ulcerative colitis,37,8,5427
9c235282-2b6f-4f74-8f16-7d3ac1b51371,colon,10x 3' v2,cell,ulcerative colitis,37,8,5408
7be23e52-e357-45d6-861f-31166913104e,colon,10x 3' v2,cell,ulcerative colitis,30,4,5061
278eac3f-a5a4-4d0a-9d83-0ca7efc67e16,colon,10x 3' v2,cell,ulcerative colitis,33,5,4505
37a17b78-4864-4a42-b67b-31c00962795a,brain,10x 3' v3,nucleus,vascular dementia,261,19,1124872
5e57cd50-8e42-42d6-940d-5c1660d06864,brain,10x 3' v3,nucleus,vascular dementia,26,3,128954
5e57cd50-8e42-42d6-940d-5c1660d06864,brain,10x 3' v3,nucleus,vascular dementia || diabetes mellitus,26,4,147678
