state,gene,n_cells,mean_expr,frac_pos,gene_state
CD4T,CD3D,16907,1.5377529859542847,0.746791269888212,CD4T
CD4T,CD3E,16907,1.2288914918899536,0.6755190157922754,CD4T
CD4T,IL7R,16907,2.001190423965454,0.7989590110605075,CD4T
CD4T,CCR7,16907,0.8915572762489319,0.477435381794523,CD4T
CD4T,CD8A,16907,0.19734054803848267,0.1179393150765955,CD8T
CD4T,CD8B,16907,0.20662622153759003,0.11433134204767256,CD8T
CD4T,GZMK,16907,0.2882688045501709,0.13568344472703614,CD8T
CD4T,FOXP3,16907,0.004027960356324911,0.0033713846335837227,Treg
CD4T,IL2RA,16907,0.09823445230722427,0.071449695392441,Treg
CD4T,CTLA4,16907,0.08894284814596176,0.06334654285207311,Treg
CD4T,IKZF2,16907,0.06900057941675186,0.050689063701425445,Treg
CD4T,NKG7,16907,0.2929810583591461,0.16638078902229847,NK
CD4T,GNLY,16907,0.9481608271598816,0.4313597918022121,NK
CD4T,KLRD1,16907,0.05809801071882248,0.035783994795055306,NK
CD4T,NCAM1,16907,0.01942799612879753,0.015614834092387769,NK
CD4T,MS4A1,16907,0.013856208883225918,0.010114153900751169,B
CD4T,CD79A,16907,0.02044735848903656,0.015437392795883362,B
CD4T,CD19,16907,0.0007874611765146255,0.0006506180871828237,B
CD4T,MZB1,16907,0.01861262135207653,0.015200804400544153,Plasma
CD4T,JCHAIN,16907,0.010603440925478935,0.008635476429881115,Plasma
CD4T,XBP1,16907,0.4553929269313812,0.31945348080676644,Plasma
CD4T,CD68,16907,0.021751152351498604,0.016561187673744603,Macrophage
CD4T,CD163,16907,0.007710696663707495,0.00686106346483705,Macrophage
CD4T,MRC1,16907,0.005833942908793688,0.004495179511444964,Macrophage
CD4T,C1QA,16907,0.019913634285330772,0.014609333412196132,Macrophage
CD4T,LYZ,16907,0.08183874934911728,0.06535754421245638,Mono
CD4T,S100A8,16907,0.09769519418478012,0.06849234045070089,Mono
CD4T,FCN1,16907,0.010716883465647697,0.00987756550541196,Mono
