frac_mal,CI_mix_mean,CI_mix_sd
0.0,0.005838637212369639,0.0001777360330626192
0.05,0.00824598530536151,0.00021298159581774383
0.1,0.009302064730015705,0.0001980231821437514
0.15000000000000002,0.010087094764323387,0.00016162160663954256
0.2,0.01055281277122844,0.00018976238804644448
0.25,0.010942715909003677,0.00015838813003673808
0.30000000000000004,0.011220291502470597,0.00016901342499850194
0.35000000000000003,0.011437129970573232,0.00019364572566150657
0.4,0.011547338946699015,0.0001997926096078672
0.45,0.011592802315577072,0.00021507058452791277
0.5,0.011543235930116708,0.00027451302139225016
0.55,0.011479386563539603,0.00018353829266765526
0.6000000000000001,0.011348978608903788,0.00016190161446493257
0.65,0.011140305267256645,0.0001728997723412429
0.7000000000000001,0.010911990739029246,0.0001215576885091904
0.75,0.010626833754326524,0.00014263207276733335
0.8,0.010312499058502515,0.0002075038704747949
0.8500000000000001,0.009813839725416783,0.00014470428859198725
0.9,0.009307209673118893,0.00016771539043221526
0.9500000000000001,0.008613791248540965,0.00015049734857364034
1.0,0.007837246217067762,0.00016967203024648283
