dataset,gsm,condition,B,CD4T,CD8T,Macrophage,Mast,Mono,NK,Plasma,Treg,pDC,n_immune
GSE179640,GSM6102532,Control,3.3936651583710407,10.633484162895927,13.122171945701359,29.638009049773757,0.4524886877828055,16.7420814479638,23.076923076923077,0.6787330316742082,2.262443438914027,0.0,442
GSE179640,GSM6102533,Control,0.32388663967611336,12.145748987854251,7.044534412955465,29.392712550607285,1.45748987854251,2.6720647773279356,44.77732793522267,0.8906882591093117,0.9716599190283401,0.32388663967611336,1235
GSE179640,GSM6102534,Control,7.3187414500684,10.259917920656635,17.920656634746923,13.269493844049249,0.478796169630643,32.0109439124487,15.868673050615595,0.478796169630643,1.5047879616963065,0.8891928864569083,1462
GSE179640,GSM6102537,Endometriosis,3.9464882943143813,5.217391304347826,12.709030100334449,7.82608695652174,1.0702341137123745,6.5551839464882935,56.92307692307692,0.6688963210702341,1.8729096989966554,3.2107023411371234,1495
GSE179640,GSM6102540,Endometriosis,2.785515320334262,4.596100278551532,11.420612813370473,45.82172701949861,0.2785515320334262,20.334261838440113,11.838440111420613,0.1392757660167131,2.0891364902506964,0.6963788300835655,718
GSE179640,GSM6102543,Endometriosis,3.316062176165803,15.958549222797927,13.678756476683937,14.507772020725387,5.492227979274611,17.409326424870468,26.632124352331605,0.8290155440414507,1.5544041450777202,0.6217616580310881,965
GSE179640,GSM6102546,Endometriosis,8.541089566020315,22.76084949215143,8.448753462603879,15.512465373961218,1.0618651892890119,25.48476454293629,14.265927977839334,1.7082179132040627,1.8928901200369344,0.32317636195752536,2166
GSE179640,GSM6102549,Endometriosis,5.643879173290938,14.864864864864865,34.65818759936407,8.90302066772655,1.3513513513513513,1.2718600953895072,27.027027027027028,0.3179650238473768,5.961844197138315,0.0,1258
GSE179640,GSM6102550,Endometriosis,2.4950099800399204,14.870259481037923,40.119760479041915,16.666666666666664,1.8962075848303395,14.071856287425149,7.385229540918163,0.6986027944111777,1.3972055888223553,0.39920159680638717,1002
GSE179640,GSM6102551,Endometriosis,2.8125,10.9375,27.8125,32.1875,2.8125,5.9375,12.1875,2.5,1.5625,1.25,320
GSE179640,GSM6102552,Endometriosis,1.4577259475218658,15.743440233236154,19.825072886297377,9.183673469387756,0.1457725947521866,1.3119533527696794,50.87463556851311,0.8746355685131195,0.43731778425655976,0.1457725947521866,686
GSE179640,GSM6102553,Endometriosis,3.4440344403444034,15.006150061500614,5.535055350553505,14.268142681426815,0.24600246002460024,12.546125461254611,45.75645756457565,0.12300123001230012,2.5830258302583027,0.4920049200492005,813
GSE179640,GSM6102554,Endometriosis,3.0878859857482186,16.389548693586697,6.175771971496437,16.6270783847981,0.7125890736342043,9.97624703087886,42.99287410926366,0.23752969121140144,3.32541567695962,0.4750593824228029,421
GSE179640,GSM6102555,Endometriosis,10.04149377593361,22.65560165975104,10.78838174273859,7.219917012448132,1.6597510373443984,8.879668049792532,32.697095435684645,1.161825726141079,4.3153526970954355,0.5809128630705395,1205
GSE179640,GSM6102556,Endometriosis,5.524605385329619,23.676880222841227,31.058495821727018,10.399257195914577,2.274837511606314,4.03899721448468,19.87000928505107,0.9749303621169917,2.042711234911792,0.1392757660167131,2154
GSE179640,GSM6102560,Endometriosis,4.545454545454546,11.462450592885375,22.92490118577075,14.624505928853754,0.3952569169960474,10.276679841897234,31.818181818181817,1.7786561264822136,2.1739130434782608,0.0,506
GSE179640,GSM6102562,Endometriosis,0.0,0.1702127659574468,0.1702127659574468,72.76595744680851,1.1063829787234043,6.978723404255319,16.085106382978722,0.3404255319148936,0.0,2.382978723404255,1175
GSE179640,GSM6595248,Endometriosis,2.127659574468085,14.198871037776813,10.551454624402954,18.41076856274425,0.17368649587494572,23.8384715588363,28.484585323491096,0.26052974381241856,1.0421189752496742,0.911854103343465,2303
GSE179640,GSM6595249,Endometriosis,0.7755695588948134,10.47018904507998,14.444983034415898,30.63499757634513,1.4541929229277752,23.897237033446437,15.996122152205524,0.09694619486185167,1.0664081434803683,1.16335433834222,2063
GSE179640,GSM6595250,Endometriosis,4.776299879081016,18.98428053204353,10.822249093107619,11.85006045949214,0.6045949214026602,22.97460701330109,27.20677146311971,0.5441354292623942,1.5114873035066507,0.7255139056831923,1654
GSE179640,GSM6595251,Endometriosis,4.869565217391305,10.434782608695652,25.565217391304344,8.347826086956523,0.5217391304347827,32.52173913043478,14.782608695652174,0.5217391304347827,1.7391304347826086,0.6956521739130435,575
GSE179640,GSM6595252,Endometriosis,0.20475020475020475,8.927108927108927,18.345618345618345,38.615888615888615,0.4914004914004914,17.076167076167074,12.48976248976249,0.16380016380016382,2.9074529074529076,0.778050778050778,2442
GSE179640,GSM6595253,Endometriosis,0.6172839506172839,13.580246913580247,35.59670781893004,24.279835390946502,0.0,12.757201646090536,11.316872427983538,0.205761316872428,1.02880658436214,0.6172839506172839,486
GSE179640,GSM6595254,Endometriosis,0.43336944745395445,9.642470205850486,9.967497291440953,16.468039003250272,1.3001083423618636,51.02925243770314,9.209100758396534,0.0,1.8418201516793065,0.10834236186348861,923
GSE179640,GSM6595255,Endometriosis,0.9836065573770493,8.524590163934425,3.934426229508197,26.229508196721312,1.639344262295082,38.68852459016394,17.04918032786885,1.9672131147540985,0.0,0.9836065573770493,305
GSE179640,GSM6595256,Endometriosis,12.139605462822459,17.526555386949923,16.084977238239755,20.106221547799695,0.37936267071320184,5.842185128983308,16.084977238239755,1.3657056145675266,9.787556904400606,0.6828528072837633,1318
GSE179640,GSM6595257,Endometriosis,9.03387703889586,7.465495608531995,15.87202007528231,25.156838143036385,1.3801756587202008,3.9523212045169385,21.9573400250941,2.132998745294856,12.421580928481808,0.6273525721455459,1594
GSE179640,GSM6595258,Endometriosis,11.958762886597938,18.144329896907216,23.711340206185564,12.989690721649486,0.5154639175257731,5.77319587628866,20.0,1.7525773195876289,4.948453608247423,0.2061855670103093,970
GSE179640,GSM6595259,Endometriosis,8.64864864864865,11.891891891891893,11.891891891891893,11.351351351351353,0.5405405405405406,15.135135135135137,35.13513513513514,0.5405405405405406,2.7027027027027026,2.1621621621621623,185
GSE179640,GSM6595260,Endometriosis,10.130718954248366,17.973856209150327,17.973856209150327,7.516339869281046,0.9803921568627451,2.941176470588235,39.21568627450981,1.9607843137254901,0.9803921568627451,0.32679738562091504,306
GSE179640,GSM6595261,Endometriosis,0.5934718100890208,6.528189910979229,6.824925816023739,19.584569732937684,2.3738872403560833,12.759643916913946,40.652818991097924,1.7804154302670623,3.2640949554896146,5.637982195845697,337
GSE214411,GSM6605431,Endometriosis,0.0,14.21875,25.234374999999996,3.8281250000000004,2.578125,5.078125,46.5234375,0.15625,2.0703125,0.3125,2560
GSE214411,GSM6605432,Endometriosis,0.3651538862806468,11.006781429316641,14.084507042253522,11.267605633802818,1.3041210224308815,2.608242044861763,54.564423578508084,0.0,4.590505998956703,0.20865936358894105,1917
GSE214411,GSM6605433,Endometriosis,1.0237780713342142,14.200792602377806,20.640686922060766,3.8639365918097752,6.869220607661823,1.6512549537648615,46.4663143989432,0.6935270805812417,4.359313077939234,0.2311756935270806,3028
GSE214411,GSM6605434,Endometriosis,0.27258566978193144,12.305295950155763,19.003115264797508,6.347352024922118,1.1682242990654206,9.735202492211839,47.50778816199377,0.0778816199376947,2.4922118380062304,1.0903426791277258,2568
GSE214411,GSM6605435,Endometriosis,0.14058106841611998,11.62136832239925,18.04123711340206,4.264292408622305,3.2333645735707592,0.5623242736644799,59.8875351452671,0.0,2.0618556701030926,0.18744142455482662,2134
GSE214411,GSM6605436,Endometriosis,0.2638522427440633,10.765171503957784,22.269129287598943,3.113456464379947,3.4828496042216357,3.7994722955145117,53.825857519788926,0.0,1.7941952506596308,0.6860158311345647,1895
GSE214411,GSM6605437,Control,0.6679389312977099,10.400763358778626,8.874045801526718,7.729007633587787,0.9541984732824428,3.2442748091603053,67.4618320610687,0.09541984732824427,0.4770992366412214,0.09541984732824427,1048
GSE214411,GSM6605438,Control,1.3774104683195594,13.498622589531681,36.50137741046832,8.953168044077135,1.5151515151515151,0.9641873278236914,33.33333333333333,1.1019283746556474,2.7548209366391188,0.0,726
GSE214411,GSM6605439,Control,0.24128098267163853,17.745119543759596,32.41939021715288,10.704101776705418,0.35095415661329243,2.1715288440447464,32.83614827813117,0.8335161219565694,2.2153981136214083,0.48256196534327706,4559
GSE214411,GSM6605440,Control,0.32786885245901637,17.950819672131146,35.16393442622951,14.918032786885247,0.4098360655737705,1.3934426229508197,26.229508196721312,0.4098360655737705,2.7868852459016393,0.4098360655737705,1220
