source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
B,Mast,TIMP1,CD63,1.3987062,1.0,0.2981334,-0.22010568579179246,-0.9170851148867964,0.0010975872,0.8489719,1.0,0.45795281806505117
SmoothMuscle,SmoothMuscle,COL6A3,CD44,0.72299886,0.0,0.5143936,0.13052944009813344,0.25778165696853705,0.015278097,0.8807219,0.3542078154724862,0.45795281806505117
SmoothMuscle,NK,COL27A1,ITGA1_ITGB1,0.5294082,0.0,0.12502293,0.5628455278949184,0.8273608269868186,0.07379406,0.784492,0.05851709003452131,0.457993987630687
Endothelial,SmoothMuscle,CALR,ITGA3,0.7290371,0.0,0.29812732,0.1604985451396279,0.05269205694090934,0.016100287,0.84897065,0.30851792790968224,0.4580229699294692
Stromal_Fib,CD8T,COL4A1,CD47,0.7229282,0.0,0.5222275,0.33616400200813323,0.4801307012270663,0.020086514,0.88151354,0.0724352731832951,0.4580229699294692
Plasma,pDC,ADAM10,CD44,0.421199,0.99,0.09696965,-0.19995120044652015,-0.3391310823773249,0.001435333,0.76223797,1.0,0.45804792726615107
Mast,Stromal_Fib,LGALS3,LAG3,0.81817687,0.03,0.12502907,0.06936346972436125,0.23699977036546313,0.01013224,0.7844961,1.0,0.45804792726615107
pDC,Mono,CALM1,KCNQ1,0.8237394,0.13,0.29798055,0.36701477785750625,0.02209382041681654,0.013511439,0.84893906,1.0,0.458093125800533
Mono,CD4T,HLA-DMB,CD4,0.7229231,0.0,0.44847128,0.9046962609198055,0.8138667499308462,0.014476403,0.8733282,0.10465544827189774,0.458093125800533
Macrophage,Macrophage,MMP2,CCR2,0.1095418,1.0,0.011998321,-0.14150245236916084,-0.631626924693796,0.002648081,0.5300072,1.0,0.45809371275096533
Endothelial,B,HBEGF,CD44,0.44825897,0.0,0.0969624,0.23983785739358998,0.1309131456615242,0.010353715,0.76223123,0.2514497740077873,0.4581018711365613
Macrophage,Macrophage,PDGFB,LRP1,0.5024639,0.0,0.12503305,0.4400442185893597,0.37451947558992005,0.04529091,0.7844989,0.05851709003452131,0.4581018711365613
Stromal_Fib,SmoothMuscle,CALM3,INSR,0.39055705,1.0,0.10862238,-0.148558603965154,-0.23962342121245,0.005125098,0.77236754,1.0,0.45815566597442203
CD8T,Treg,S100A9,ITGB2,0.4585468,0.0,0.09695714,0.1225166861043432,-1.2455332872459155,0.0015119638,0.76222634,1.0,0.45815566597442203
Macrophage,Mono,LAMB2,CD44,0.9549479,0.0,0.12504993,0.5184420182094497,0.5439327183289936,0.00446188,0.78451025,0.4974827698776975,0.45815566597442203
NK,Stromal_Fib,GNAI2,IGF1R,0.7229039,0.0,0.334793,0.16263229160290774,0.18702106040388142,0.013152446,0.8562573,0.2819753945407546,0.45816328567791054
Macrophage,Mast,FN1,ITGA9,0.40929806,0.0,0.09695152,0.22759612587413228,1.0586328827061287,0.035081543,0.76222104,0.17193925880192987,0.45820961830319196
Plasma,Macrophage,TNFSF10,CCR6,0.10954425,1.0,0.011998866,-0.07917751705208145,-0.421086549956432,0.0012461235,0.53001285,1.0,0.4582626683613038
pDC,Stromal_Fib,TNFSF13B,TFRC,0.39424604,0.0,0.12512185,0.5282306612217131,0.41345940162174644,0.014975143,0.78455883,0.09521612976458628,0.4582635748674065
NK,Stromal_Fib,ADAM17,ITGB1,0.9002085,0.0,0.29792035,0.08967377110274391,0.21420209647735294,0.0069329557,0.8489261,0.6129251460527168,0.4583036174502806
Stromal_Fib,Epithelial,IGF1,IGF1R,0.72287947,0.0,0.45532838,0.5713414897234768,1.2973402464708463,0.1276455,0.8741652,0.03241434182044405,0.4583036174502806
CD4T,B,COL1A1,CD44,0.46652997,1.0,0.12512563,-0.24066721228105975,-1.687128402733371,0.0016064494,0.78456146,1.0,0.4583175356672321
SmoothMuscle,Macrophage,COL4A2,ITGA9_ITGB1,0.59772867,0.0,0.096917994,0.4587451114082859,0.6117510000417229,0.05085883,0.76218975,0.05851709003452131,0.45837134738707475
Mast,Macrophage,HLA-DMA,CD4,0.5979771,0.0,0.12514651,0.8361611368078359,0.3996333655755497,0.0031592639,0.7845755,0.4974827698776975,0.45837134738707475
Epithelial,Stromal_Fib,CALR,ITGA3,0.7982328,0.0,0.12514812,0.09309631415429961,0.0728105751797353,0.006758591,0.7845766,0.640744445652905,0.45842531664658714
