patient_left_out,n,up,mean_diff,P
12529,4,4/4,0.81,0.0625
2756,4,4/4,0.378,0.0625
4909,4,4/4,0.973,0.0625
5322,4,4/4,0.808,0.0625
9997,4,4/4,0.957,0.0625
